CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 11,4,3,3,2,2,2,0,-33,-32,1330.616,1334.113,305.224,1792.284,1792.284,307.452,"[19,-9,19,-10,18,-10,21,-9,20,-8,20,-7,19,-7,19,-6,19,-5,17,-6,19,-6,18,-6,17,-5,17,-5,16,-4,16,-5,14,-5,14,-4,13,-5,13,-5,12,-4,11,-5,11,-4,10,-7,10,-7,10,-8,0,0,8,-8,9,-9,9,-10,7,-10,8,-10,8,-10,8,-11,8,-10,8,-11,7,-11,8,-12,8,-11,7,-11,8,-12,8,-11,8,-12,8,-12,8,-12,8,-12,8,-11,9,-11,9,-11,9,-11,9,-11,10,-10,10,-9,0,0,4,-10,4,-10,3,-11,4,-12,4,-12,3,-12,3,-13,4,-13,4,-13,4,-14,4,-15,3,-15,3,-14,3,-14,4,-13,3,-15,2,-14,2,-14,1,-14,2,-14,3,-14,1,-14,1,-14,-1,-15,0,-16,-1,-16,0,0,-1,-15,-2,-16,-2,-16,-3,-16,-3,-17,-3,-17,-3,-17,-3,-17,-4,-17,-5,-18,-6,-19,-5,-18,-5,-19,-5,-20,-6,-21,-6,-22,-6,-22,-6,-23,-4,-24,-3,-24,-3,-25,-2,-24,-2,-25,-2,-25,0,-25,1,-25,0,0]"
CSI_DATA: 12,6,3,3,2,2,2,0,-32,-32,1328.449,1331.946,306.159,1847.337,1847.337,362.505,"[14,6,14,6,15,5,15,7,15,7,14,7,14,7,13,7,14,7,13,7,14,8,14,7,13,8,13,7,12,8,13,6,12,5,12,6,12,5,12,5,12,6,12,4,12,5,12,3,13,4,13,3,0,0,13,2,13,1,13,1,13,0,13,0,14,0,14,-1,14,-1,15,-2,15,-2,16,-3,15,-2,16,-2,16,-3,17,-3,17,-4,18,-4,18,-4,19,-4,19,-4,20,-3,20,-3,21,-2,22,-3,22,-1,22,-1,0,0,-6,14,-6,13,-5,13,-5,13,-5,12,-4,11,-4,10,-3,10,-3,9,-1,9,-1,9,0,8,1,8,1,7,1,7,2,6,3,6,3,6,4,6,4,5,5,5,5,5,6,5,7,4,7,4,8,4,0,0,9,4,10,4,10,4,10,3,11,4,11,4,12,4,13,4,12,4,13,4,15,4,14,4,14,4,15,5,15,5,16,5,16,6,16,7,15,8,15,9,15,10,15,10,15,10,15,11,13,12,13,12,0,0]"
CSI_DATA: 13,7,3,3,2,2,2,0,-35,-40,1324.771,1328.268,310.848,1903.450,1903.450,418.618,"[3,6,3,6,4,5,4,7,4,6,4,7,4,7,4,7,4,7,4,7,5,8,5,8,5,8,5,8,5,8,6,8,6,8,6,8,6,8,6,9,6,9,6,9,6,10,8,9,8,11,8,10,0,0,8,10,7,11,8,11,7,11,7,11,7,11,7,11,6,11,6,11,6,11,7,11,6,10,6,10,6,10,6,10,7,10,7,10,6,10,7,10,6,10,6,11,6,11,7,11,7,11,6,11,6,11,0,0,6,-4,6,-4,5,-4,5,-4,5,-3,4,-4,3,-4,2,-4,2,-4,1,-4,1,-4,0,-4,0,-4,-1,-4,-1,-3,-2,-4,-2,-3,-2,-3,-3,-3,-4,-3,-4,-2,-5,-2,-5,-2,-5,-1,-6,0,-7,0,0,0,-7,1,-8,1,-9,2,-9,3,-10,3,-10,4,-11,4,-11,5,-12,6,-12,7,-13,8,-12,8,-13,8,-14,9,-15,10,-15,12,-16,12,-17,12,-18,12,-19,12,-20,12,-20,11,-21,12,-22,13,-23,11,-24,11,0,0]"
CSI_DATA: 14,5,3,3,2,2,2,0,-43,-35,1327.13,1330.510,313.133,1960.23,1960.23,475.191,"[-13,-3,-13,-3,-13,-2,-14,-4,-14,-3,-14,-3,-13,-3,-13,-2,-14,-2,-13,-1,-15,-1,-14,0,-14,0,-14,1,-14,0,-14,1,-13,2,-13,3,-13,3,-13,3,-14,4,-13,5,-13,5,-12,7,-13,8,-12,9,0,0,-12,11,-13,12,-12,13,-12,13,-13,14,-14,15,-15,15,-15,15,-15,16,-15,15,-16,17,-17,15,-17,15,-17,15,-17,14,-17,14,-17,14,-17,13,-17,11,-17,10,-17,9,-17,8,-16,7,-15,8,-15,6,-14,5,0,0,-16,-8,-16,-8,-16,-8,-17,-9,-16,-8,-15,-9,-15,-9,-14,-8,-14,-8,-13,-8,-14,-9,-14,-8,-14,-8,-13,-8,-12,-8,-14,-8,-12,-7,-12,-7,-13,-7,-13,-8,-12,-8,-12,-7,-11,-8,-12,-6,-12,-7,-12,-7,0,0,-11,-7,-11,-7,-11,-7,-10,-6,-10,-6,-10,-6,-10,-6,-9,-5,-9,-5,-9,-4,-9,-4,-9,-3,-9,-3,-9,-2,-10,-2,-10,-1,-11,-1,-11,-1,-12,-1,-12,-1,-13,-2,-13,-2,-14,-3,-14,-3,-14,-4,-15,-5,0,0]"
CSI_DATA: 15,3,3,3,2,2,3,0,-35,-34,2067.934,2071.476,13.396,2239.873,2239.873,15.49,"[-7,9,-7,9,-5,9,-7,9,-6,8,-6,8,-5,8,-5,7,-4,7,-3,7,-3,8,-3,7,-3,7,-2,7,-2,7,-1,7,-1,6,-1,7,0,6,0,7,0,6,1,6,1,6,2,6,2,7,3,6,0,0,4,6,4,6,5,6,5,6,6,6,6,7,7,7,7,7,7,7,8,7,8,7,8,7,8,7,9,8,9,8,9,9,10,9,9,10,9,10,9,11,9,11,9,11,9,12,9,13,8,14,7,14,0,0,-12,6,-12,6,-10,7,-11,7,-11,7,-10,7,-10,7,-9,7,-9,7,-8,7,-8,8,-7,8,-7,8,-6,8,-5,8,-4,9,-3,8,-3,8,-2,9,-2,9,-2,9,-1,9,-1,9,0,9,0,10,1,10,0,0,2,10,2,10,3,10,3,10,4,10,4,10,4,10,5,11,5,11,6,11,6,12,5,12,5,12,5,13,5,13,5,14,4,15,4,15,2,14,2,14,0,14,0,14,-2,14,-2,13,-3,12,-4,12,0,0]"
CSI_DATA: 16,4,4,4,3,3,3,0,-32,-32,2070.599,2074.141,305.140,2531.702,2531.702,306.878,"[19,16,19,16,20,15,19,18,18,18,16,18,16,18,15,17,14,18,14,16,15,18,15,17,14,16,13,16,11,16,13,15,12,13,11,13,11,11,11,12,10,12,11,10,10,10,12,8,12,8,12,7,0,0,13,6,13,6,14,5,14,4,14,5,14,5,14,5,14,4,15,4,15,3,16,3,15,4,15,3,15,3,15,3,16,3,16,3,16,3,16,4,15,4,15,4,15,5,15,5,15,5,14,6,14,6,0,0,10,4,10,3,10,2,11,3,12,2,12,2,12,2,12,2,12,2,13,2,14,2,14,2,14,2,13,1,13,2,15,0,14,0,13,1,14,0,14,0,14,0,14,-1,14,0,14,-2,15,-2,15,-2,0,0,15,-3,15,-4,15,-4,15,-4,16,-5,16,-5,16,-6,16,-6,17,-7,17,-7,18,-8,17,-7,17,-8,18,-8,19,-9,21,-10,21,-9,22,-9,22,-9,22,-8,24,-7,23,-7,25,-5,25,-6,26,-3,26,-2,0,0]"
CSI_DATA: 17,6,4,4,3,3,3,0,-32,-32,2068.433,2071.974,305.828,2580.258,2580.258,355.434,"[-14,-9,-14,-9,-14,-8,-15,-11,-14,-10,-14,-11,-14,-11,-13,-10,-13,-11,-13,-10,-14,-12,-14,-11,-14,-11,-13,-11,-12,-11,-14,-10,-13,-10,-12,-10,-13,-9,-13,-10,-13,-10,-13,-9,-12,-9,-13,-8,-14,-9,-14,-8,0,0,-14,-8,-14,-8,-15,-7,-14,-6,-14,-7,-15,-6,-15,-6,-15,-5,-16,-6,-16,-5,-17,-5,-17,-5,-17,-5,-18,-5,-18,-4,-19,-4,-19,-4,-20,-4,-20,-4,-20,-5,-22,-6,-21,-6,-22,-7,-24,-6,-23,-9,-24,-9,0,0,12,-10,11,-9,10,-10,10,-9,9,-8,9,-8,8,-8,7,-7,7,-7,6,-8,6,-8,5,-8,4,-7,3,-7,3,-7,2,-8,1,-7,0,-7,0,-7,-1,-7,-1,-7,-2,-7,-2,-7,-3,-7,-4,-8,-4,-8,0,0,-5,-8,-6,-9,-7,-9,-7,-9,-7,-9,-8,-9,-8,-10,-8,-10,-9,-10,-9,-11,-10,-11,-9,-11,-9,-11,-9,-12,-9,-13,-10,-13,-10,-13,-9,-14,-9,-14,-8,-14,-7,-15,-7,-15,-7,-16,-7,-16,-5,-16,-4,-16,0,0]"
CSI_DATA: 18,7,4,4,3,3,3,0,-35,-40,2064.756,2068.298,310.755,2650.628,2650.628,425.804,"[-6,3,-6,4,-5,4,-7,4,-6,4,-6,5,-6,5,-6,5,-6,5,-6,6,-6,6,-6,7,-6,7,-6,8,-7,7,-6,8,-6,8,-6,8,-6,9,-7,9,-7,9,-7,10,-8,9,-6,11,-8,11,-8,12,0,0,-8,11,-9,12,-9,12,-8,11,-9,11,-10,12,-10,11,-9,11,-10,11,-9,11,-9,12,-9,11,-9,11,-9,11,-9,11,-9,12,-9,12,-9,12,-9,12,-10,12,-10,12,-11,13,-11,13,-11,14,-12,13,-13,13,0,0,6,5,5,4,6,3,6,4,5,3,5,2,4,2,4,1,4,1,4,0,3,0,3,-1,3,-2,2,-2,1,-2,1,-3,0,-3,0,-3,-1,-4,-1,-4,-2,-4,-3,-4,-3,-4,-4,-4,-5,-4,-6,-3,0,0,-7,-3,-9,-3,-10,-3,-10,-2,-11,-3,-12,-3,-13,-2,-14,-2,-15,-1,-16,-1,-18,0,-18,-1,-19,0,-20,0,-22,1,-23,1,-24,2,-25,2,-26,1,-26,1,-28,0,-28,0,-29,0,-31,0,-31,-2,-31,-3,0,0]"
CSI_DATA: 19,3,4,4,3,3,4,0,-35,-34,2811.224,2821.521,22.995,2990.09,2990.09,25.185,"[10,6,9,6,10,5,10,6,9,5,9,5,9,5,8,4,8,4,9,3,9,3,9,2,9,2,9,2,8,2,9,1,8,0,8,0,8,0,8,0,8,0,8,-1,7,-1,7,-2,7,-2,8,-3,0,0,7,-4,7,-5,8,-5,7,-6,8,-6,8,-7,8,-7,8,-7,9,-8,8,-8,9,-9,9,-9,10,-9,10,-10,10,-10,11,-11,12,-11,12,-10,12,-10,13,-9,14,-9,15,-8,16,-9,16,-9,16,-7,17,-6,0,0,-12,-4,-12,-4,-12,-2,-13,-3,-12,-2,-12,-2,-12,-1,-11,-1,-11,-1,-11,0,-11,1,-11,1,-11,2,-10,2,-10,2,-10,4,-9,4,-9,4,-8,5,-9,5,-9,5,-8,6,-8,6,-7,7,-8,8,-8,8,0,0,-7,8,-6,9,-6,10,-6,10,-6,10,-6,11,-6,11,-6,11,-6,12,-6,12,-6,13,-7,12,-7,12,-7,12,-9,12,-9,13,-10,12,-10,12,-11,11,-11,10,-12,9,-12,8,-12,7,-12,7,-13,5,-13,4,0,0]"
CSI_DATA: 20,4,5,5,4,4,4,0,-32,-32,2813.891,2824.189,314.960,3281.947,3281.947,317.123,"[11,18,11,18,12,17,11,20,10,19,9,19,8,18,8,18,7,18,8,17,8,18,8,18,7,17,7,16,5,16,7,15,6,13,6,13,6,12,6,12,6,11,7,10,6,10,8,8,8,9,9,8,0,0,9,7,10,7,10,7,10,6,10,6,11,6,11,6,11,6,12,6,12,5,13,5,12,5,12,5,13,5,13,5,14,5,14,5,13,5,13,6,13,6,13,6,13,6,13,6,14,6,12,7,11,7,0,0,-11,-3,-11,-3,-11,-1,-12,-1,-12,-1,-13,-1,-13,-1,-13,-1,-13,0,-13,0,-14,0,-14,1,-14,1,-14,1,-14,1,-15,2,-13,3,-13,2,-13,4,-14,3,-14,3,-14,4,-14,4,-13,6,-15,6,-15,7,0,0,-14,7,-15,8,-15,9,-15,9,-15,9,-16,10,-15,9,-15,10,-16,10,-16,11,-17,13,-16,11,-16,12,-17,13,-18,13,-19,14,-19,15,-20,14,-21,14,-21,13,-23,13,-22,12,-23,12,-23,12,-25,10,-25,9,0,0]"
