CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 11,5,5,5,6,4,6,0,-32,-31,4287.455,4290.547,305.495,4751.650,4751.650,307.05,"[-10,-20,-10,-20,-12,-20,-11,-22,-10,-21,-9,-21,-9,-21,-8,-20,-8,-20,-9,-20,-9,-22,-10,-21,-9,-21,-8,-20,-7,-20,-9,-20,-8,-19,-7,-18,-8,-18,-7,-19,-6,-19,-7,-18,-6,-17,-9,-16,-8,-18,-9,-17,0,0,-9,-16,-9,-16,-9,-16,-9,-15,-8,-16,-8,-16,-8,-16,-8,-16,-8,-15,-8,-15,-10,-15,-8,-14,-8,-14,-8,-15,-7,-14,-7,-14,-7,-14,-7,-13,-6,-13,-5,-13,-5,-13,-4,-13,-4,-12,-5,-12,-3,-11,-4,-11,0,0,15,-6,15,-7,14,-8,17,-8,15,-8,15,-8,15,-8,15,-8,16,-8,15,-9,17,-9,17,-9,17,-9,17,-9,18,-8,18,-10,17,-10,16,-8,17,-9,18,-8,19,-7,17,-8,18,-6,17,-9,19,-7,19,-8,0,0,18,-7,18,-7,19,-7,17,-6,18,-5,18,-5,17,-4,16,-4,16,-4,15,-4,15,-4,14,-3,13,-3,12,-3,11,-3,11,-5,11,-4,10,-5,10,-5,9,-5,9,-6,9,-6,9,-7,9,-8,10,-8,10,-8,0,0]"
CSI_DATA: 12,6,6,6,5,5,6,0,-41,-31,4288.889,4291.981,305.682,4809.47,4809.47,364.402,"[10,1,11,-2,11,-3,12,-4,12,-6,13,-7,12,-9,12,-10,12,-11,11,-13,13,-14,11,-16,12,-16,11,-17,11,-17,10,-20,9,-18,10,-18,8,-18,9,-18,9,-17,8,-17,8,-17,6,-16,7,-16,5,-15,0,0,4,-14,4,-13,4,-11,3,-10,4,-8,4,-8,4,-6,5,-4,4,-4,6,-2,7,0,8,2,9,3,10,6,10,8,12,10,13,13,14,14,15,17,15,18,16,20,16,23,18,26,20,26,17,29,18,29,0,0,-3,-16,-3,-15,-5,-14,-4,-15,-5,-13,-5,-12,-5,-11,-5,-10,-6,-9,-6,-9,-7,-9,-7,-8,-8,-7,-8,-6,-8,-6,-9,-4,-9,-3,-9,-3,-10,-2,-10,-1,-10,-1,-10,0,-10,0,-10,2,-12,2,-11,4,0,0,-11,5,-12,6,-13,7,-12,7,-13,8,-14,9,-14,10,-14,10,-14,11,-15,11,-16,13,-17,12,-17,12,-18,13,-18,13,-19,14,-20,14,-21,14,-22,13,-22,12,-23,12,-23,11,-24,11,-25,11,-26,8,-26,7,0,0]"
CSI_DATA: 13,3,2,2,0,1,7,0,-38,-34,4294811.550,5031.479,13.269,5199.346,5199.346,14.700,"[2,15,2,14,3,13,2,15,1,13,1,13,1,12,1,11,0,12,1,10,1,11,1,10,1,10,1,10,1,9,2,9,2,8,2,7,3,8,2,8,2,7,3,7,2,6,4,7,4,7,4,7,0,0,4,6,4,6,5,6,4,5,4,6,4,5,5,5,5,5,5,4,5,4,7,4,7,4,7,4,8,4,8,4,9,4,9,5,10,5,10,5,10,6,10,7,10,8,11,9,11,9,11,11,10,11,0,0,-7,13,-7,13,-5,13,-6,14,-5,13,-5,14,-4,13,-3,12,-3,12,-2,11,-1,12,0,12,1,10,1,10,1,10,3,10,4,9,4,8,5,8,6,9,6,8,7,8,6,7,8,6,9,7,9,7,0,0,10,6,10,5,11,6,11,5,11,5,11,5,11,5,12,5,13,5,12,5,14,5,13,5,13,6,14,7,13,7,14,8,13,8,14,10,13,10,11,11,11,12,10,12,9,13,9,14,7,15,5,15,0,0]"
CSI_DATA: 14,5,6,6,7,5,7,0,-33,-31,5027.657,5030.549,305.636,5491.708,5491.708,307.62,"[13,17,13,16,15,16,14,19,13,18,13,17,13,17,12,16,11,17,12,16,13,18,13,17,12,17,12,17,10,17,12,16,11,15,11,15,11,14,11,15,10,15,11,14,9,14,12,12,12,14,12,13,0,0,12,12,12,12,12,12,12,11,12,11,12,11,12,11,11,10,12,11,11,10,12,10,11,10,11,10,12,10,11,10,11,10,11,10,10,9,10,10,9,9,9,10,8,10,7,9,8,9,7,9,6,8,0,0,-2,14,-1,15,0,14,-1,16,-1,15,-1,16,-1,16,-1,16,-1,16,0,15,-1,17,0,17,0,17,-1,17,-2,17,-1,18,-1,17,-2,16,-1,17,-3,17,-3,17,-3,17,-3,16,-1,17,-3,18,-2,18,0,0,-3,17,-4,16,-4,18,-3,16,-5,16,-5,16,-5,15,-5,14,-5,14,-4,13,-4,14,-5,12,-4,12,-4,11,-4,10,-3,11,-2,10,-2,10,-2,10,-1,9,-1,10,0,9,0,9,1,10,0,11,0,12,0,0]"
CSI_DATA: 15,6,7,7,6,6,7,0,-41,-31,5029.93,5031.984,305.694,5541.980,5541.980,357.334,"[7,7,9,6,11,4,12,5,12,3,12,3,13,1,14,-1,15,-1,16,-2,19,-4,19,-6,20,-5,19,-6,20,-6,20,-10,19,-9,19,-10,19,-10,19,-9,20,-9,19,-9,17,-8,17,-11,18,-10,15,-10,0,0,13,-9,13,-8,11,-8,9,-7,10,-6,8,-5,8,-4,7,-3,6,-2,5,1,4,1,4,3,3,5,2,8,0,10,0,13,-2,14,-2,16,-4,18,-5,20,-7,22,-8,23,-10,25,-9,28,-14,28,-14,29,0,0,4,-14,3,-13,1,-13,2,-13,1,-11,1,-11,0,-11,0,-10,-1,-10,-2,-9,-3,-9,-3,-9,-4,-8,-4,-7,-5,-7,-5,-7,-6,-6,-6,-5,-7,-5,-8,-5,-8,-5,-9,-4,-8,-4,-10,-2,-11,-2,-11,-1,0,0,-12,0,-12,0,-14,1,-13,2,-14,2,-15,2,-15,2,-16,3,-16,3,-17,4,-19,5,-18,4,-19,4,-20,4,-20,4,-22,5,-22,5,-23,4,-23,2,-23,1,-24,0,-23,0,-24,0,-25,0,-24,-2,-24,-4,0,0]"
CSI_DATA: 16,5,7,7,8,6,8,0,-32,-31,5768.600,5770.729,305.611,6231.771,6231.771,307.125,"[-26,3,-26,3,-25,5,-28,3,-26,2,-26,2,-26,2,-25,1,-25,1,-24,1,-26,1,-26,2,-26,1,-25,1,-24,-1,-24,2,-23,2,-22,1,-22,1,-22,0,-22,0,-21,1,-20,0,-21,3,-21,2,-21,3,0,0,-20,3,-20,3,-20,4,-19,4,-19,3,-19,3,-19,3,-18,3,-18,4,-17,4,-18,5,-17,3,-17,3,-17,4,-17,3,-17,4,-17,3,-17,3,-16,3,-16,2,-16,1,-15,1,-15,1,-15,1,-14,0,-14,0,0,0,-16,0,-16,1,-15,2,-17,1,-16,1,-17,1,-17,1,-16,1,-17,1,-16,1,-18,1,-18,2,-18,1,-18,1,-18,0,-18,1,-18,1,-17,1,-17,2,-18,0,-18,-1,-18,1,-17,-1,-17,1,-19,-1,-19,0,0,0,-18,-1,-18,-1,-18,-1,-17,-1,-17,-2,-17,-2,-16,-3,-16,-2,-15,-3,-14,-3,-14,-2,-13,-3,-13,-2,-13,-2,-12,-2,-12,-1,-12,0,-11,0,-11,0,-10,0,-11,1,-10,1,-11,2,-11,2,-12,2,-12,2,0,0]"
CSI_DATA: 17,5,8,8,10,7,10,0,-32,-31,7247.411,7250.548,305.562,7711.757,7711.757,307.104,"[21,-12,21,-11,20,-13,23,-12,21,-11,22,-10,22,-10,20,-9,21,-9,19,-10,22,-10,21,-10,21,-9,20,-9,20,-8,20,-9,18,-9,18,-8,18,-9,18,-7,18,-7,17,-8,16,-7,16,-9,17,-9,16,-9,0,0,15,-9,15,-9,15,-10,14,-9,14,-9,15,-10,14,-10,13,-9,14,-9,13,-10,14,-11,13,-9,13,-9,13,-9,13,-9,13,-9,13,-9,13,-9,12,-8,12,-8,12,-7,12,-6,12,-6,12,-7,11,-6,11,-5,0,0,10,11,11,11,12,10,13,12,12,11,12,11,12,12,12,12,12,12,13,10,15,12,15,11,15,12,15,12,13,13,15,13,14,12,13,12,14,12,13,14,13,14,13,14,12,14,15,11,15,14,15,14,0,0,13,13,13,14,14,14,13,13,12,14,11,14,10,14,10,13,10,13,10,12,11,12,9,11,9,10,9,10,9,10,9,9,10,9,9,8,9,8,9,8,9,8,9,7,10,7,11,6,11,7,11,7,0,0]"
CSI_DATA: 18,6,9,9,9,8,10,0,-41,-32,7248.850,7251.987,305.634,7764.34,7764.34,359.381,"[-4,-10,-6,-9,-8,-8,-9,-9,-9,-7,-11,-7,-12,-6,-13,-5,-14,-4,-14,-2,-18,-3,-19,-1,-20,-1,-19,0,-20,-1,-21,2,-21,3,-21,3,-22,3,-22,2,-22,2,-21,3,-19,2,-19,5,-20,4,-18,5,0,0,-16,4,-15,3,-15,4,-13,4,-13,3,-12,2,-11,2,-10,2,-9,0,-7,-2,-7,-2,-7,-4,-5,-5,-5,-8,-3,-8,-3,-11,-2,-12,0,-15,1,-16,3,-17,3,-19,5,-20,6,-21,6,-25,9,-25,10,-26,0,0,-17,-3,-16,-3,-15,-2,-15,-2,-14,-2,-14,-1,-13,-1,-12,0,-12,0,-11,1,-12,2,-11,3,-10,3,-9,3,-8,3,-8,4,-7,5,-7,5,-6,6,-6,5,-5,7,-4,7,-4,7,-2,8,-2,9,-1,10,0,0,-1,10,0,11,1,11,2,12,2,12,2,14,3,14,3,15,3,16,5,16,6,17,5,18,5,18,5,19,5,20,5,21,5,21,4,22,3,23,2,23,1,24,0,22,0,23,0,24,-2,24,-4,23,0,0]"
CSI_DATA: 19,6,10,10,10,9,11,0,-41,-32,7988.817,7992.07,302.455,8451.758,8451.758,307.112,"[-5,8,-4,8,-1,9,-1,11,0,10,2,11,3,11,5,11,5,12,8,10,10,12,12,11,13,12,13,11,14,12,16,11,15,10,15,10,16,10,17,11,16,11,16,10,15,10,16,7,16,8,16,7,0,0,14,6,13,6,13,6,11,5,10,5,10,5,8,5,7,5,6,5,4,6,3,7,2,7,0,7,-2,9,-4,9,-6,11,-7,11,-9,12,-12,12,-13,13,-15,13,-17,13,-18,14,-20,16,-22,15,-24,16,0,0,-6,13,-6,13,-3,12,-4,12,-3,11,-4,11,-3,10,-2,10,-2,9,-1,9,0,9,0,9,1,8,2,7,2,7,3,7,3,6,3,5,4,5,5,5,5,4,6,4,6,3,7,2,8,2,8,1,0,0,9,1,10,0,11,-1,10,-1,12,-2,12,-2,13,-2,14,-2,14,-2,15,-3,16,-4,16,-3,17,-3,18,-3,18,-2,20,-3,20,-3,21,-2,21,-1,20,0,21,1,20,2,21,2,21,2,21,5,20,5,0,0]"
CSI_DATA: 20,5,9,9,11,8,11,0,-32,-31,7987.376,7990.566,302.406,8498.566,8498.566,353.920,"[-8,22,-8,22,-6,22,-9,23,-9,22,-10,21,-9,21,-9,20,-10,20,-8,20,-10,21,-9,21,-9,21,-9,20,-10,19,-9,20,-8,18,-8,17,-7,18,-8,17,-8,17,-7,17,-8,16,-5,17,-6,18,-5,18,0,0,-5,17,-5,17,-4,17,-4,16,-4,16,-4,17,-4,16,-4,16,-4,16,-3,15,-3,17,-4,15,-4,16,-3,16,-4,15,-3,15,-3,15,-3,14,-4,14,-4,13,-4,13,-5,13,-5,13,-4,12,-5,11,-5,11,0,0,-16,6,-16,6,-16,8,-18,8,-17,8,-17,8,-17,8,-17,8,-18,8,-18,9,-20,9,-19,10,-20,9,-19,9,-20,8,-20,10,-19,10,-19,8,-19,10,-20,8,-21,8,-20,9,-20,7,-20,9,-22,8,-21,9,0,0,-20,8,-21,8,-21,8,-20,7,-21,6,-21,6,-20,5,-19,5,-18,5,-17,4,-17,5,-16,4,-15,4,-15,4,-14,4,-14,5,-14,6,-13,6,-12,6,-12,6,-12,6,-12,7,-13,7,-13,9,-13,8,-14,8,0,0]"
