CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 11,6,3,3,2,2,2,0,-34,-32,1328.224,1331.970,306.20,1911.304,1911.304,426.548,"[-10,-4,-11,-4,-11,-3,-12,-5,-12,-4,-12,-5,-13,-5,-12,-4,-13,-5,-13,-4,-14,-5,-14,-4,-14,-5,-14,-4,-14,-5,-14,-4,-14,-3,-13,-3,-14,-2,-13,-2,-14,-2,-13,-1,-12,-1,-13,2,-13,2,-13,3,0,0,-13,4,-13,5,-14,7,-13,7,-14,8,-14,9,-14,9,-13,11,-14,12,-13,13,-13,15,-14,15,-15,16,-16,18,-15,17,-16,20,-17,20,-18,21,-19,21,-20,21,-22,21,-23,20,-24,21,-24,21,-26,20,-27,19,0,0,0,16,1,15,3,14,2,15,2,13,2,13,2,12,2,11,2,10,3,9,4,10,4,9,4,8,4,7,4,7,4,6,5,5,4,4,5,4,5,3,6,3,6,2,6,1,7,0,8,-1,8,-2,0,0,8,-3,9,-3,10,-4,9,-5,11,-5,11,-5,12,-6,12,-6,13,-6,13,-7,14,-8,14,-7,14,-7,15,-7,16,-7,17,-7,17,-7,18,-6,18,-5,17,-4,18,-3,17,-3,18,-2,18,-2,18,0,17,1,0,0]"
CSI_DATA: 12,5,4,4,3,3,3,0,-39,-34,2066.764,2070.525,305.822,2532.157,2532.157,307.400,"[-18,-13,-19,-12,-19,-10,-19,-12,-18,-11,-17,-11,-17,-11,-15,-10,-15,-9,-15,-9,-16,-9,-16,-7,-16,-7,-16,-7,-15,-7,-16,-5,-15,-5,-15,-5,-15,-4,-15,-5,-15,-5,-15,-3,-14,-4,-16,-2,-16,-3,-16,-1,0,0,-16,-1,-16,-1,-17,-1,-16,0,-17,-1,-18,-1,-17,-1,-17,-2,-17,-1,-17,-2,-18,-1,-18,-2,-17,-3,-17,-3,-17,-4,-17,-4,-17,-4,-16,-5,-15,-6,-14,-7,-14,-7,-13,-7,-13,-7,-12,-7,-10,-7,-10,-7,0,0,-12,-12,-13,-12,-13,-11,-13,-13,-12,-11,-13,-11,-12,-11,-13,-10,-13,-10,-13,-9,-14,-11,-14,-10,-14,-10,-14,-10,-14,-11,-15,-10,-15,-10,-14,-10,-15,-10,-15,-11,-14,-12,-15,-11,-13,-12,-15,-11,-15,-13,-16,-13,0,0,-15,-13,-15,-13,-16,-14,-14,-13,-14,-14,-14,-14,-13,-14,-12,-14,-12,-14,-11,-13,-11,-14,-10,-13,-9,-13,-10,-13,-9,-12,-10,-13,-9,-11,-9,-11,-9,-11,-8,-11,-9,-11,-9,-10,-9,-10,-10,-10,-9,-11,-10,-12,0,0]"
CSI_DATA: 13,4,4,4,3,3,3,0,-40,-32,2070.359,2074.121,305.953,2597.991,2597.991,373.234,"[-1,4,-1,4,-1,3,-1,3,-2,2,-2,1,-2,1,-2,0,-3,0,-2,-1,-3,-1,-3,-2,-4,-2,-4,-2,-4,-3,-4,-3,-5,-3,-5,-3,-5,-3,-6,-3,-6,-4,-7,-3,-7,-3,-8,-3,-9,-3,-10,-3,0,0,-11,-2,-11,-3,-12,-3,-12,-3,-13,-4,-14,-3,-14,-4,-14,-4,-14,-4,-13,-4,-15,-3,-14,-4,-14,-4,-15,-4,-14,-3,-15,-3,-15,-3,-15,-3,-15,-3,-14,-3,-15,-4,-15,-4,-15,-4,-15,-4,-14,-4,-14,-4,0,0,-3,5,-2,6,-1,6,-1,7,0,7,0,8,0,8,1,8,1,8,1,8,2,10,3,10,3,10,3,10,3,10,5,10,5,9,5,9,7,9,6,9,7,10,8,9,7,9,10,8,11,9,12,8,0,0,13,8,14,8,16,8,15,7,17,8,18,8,19,8,19,7,20,7,20,6,24,6,22,6,23,7,26,7,24,8,28,8,27,8,30,9,29,10,28,11,29,13,28,13,28,14,30,14,28,17,28,18,0,0]"
CSI_DATA: 14,5,5,5,4,4,4,0,-33,-33,2807.237,2810.492,305.859,3272.202,3272.202,307.446,"[-6,17,-6,18,-4,18,-6,20,-6,18,-7,18,-7,18,-6,17,-7,18,-6,17,-7,19,-6,18,-6,18,-6,18,-7,18,-5,18,-5,17,-5,16,-4,17,-5,17,-5,16,-4,17,-5,15,-2,16,-3,17,-3,17,0,0,-1,16,-2,16,-1,17,0,16,0,17,0,17,0,17,0,16,0,17,0,15,2,17,1,16,1,17,1,17,1,16,1,17,1,18,1,18,0,17,0,17,-2,17,-2,17,-2,17,-2,18,-4,17,-4,17,0,0,-5,11,-4,11,-3,11,-4,12,-3,11,-2,12,-2,12,-1,12,-1,12,-1,11,-1,13,0,13,0,14,0,14,0,14,2,16,1,14,1,14,2,15,1,16,0,17,1,16,-1,16,1,17,0,18,1,19,0,0,0,19,-1,19,-1,19,-1,19,-2,18,-3,19,-3,18,-3,17,-3,17,-4,16,-4,17,-5,15,-5,15,-5,14,-4,14,-4,14,-4,13,-4,13,-3,13,-3,12,-3,12,-3,11,-3,11,-2,12,-3,11,-2,12,0,0]"
CSI_DATA: 15,4,5,5,4,4,4,0,-41,-32,2810.834,2814.88,305.958,3322.64,3322.64,357.308,"[-9,-21,-10,-21,-11,-19,-11,-22,-10,-20,-11,-20,-10,-19,-9,-18,-10,-18,-10,-16,-11,-17,-11,-16,-11,-15,-10,-14,-9,-15,-10,-13,-10,-12,-8,-11,-9,-11,-8,-11,-8,-10,-7,-10,-6,-8,-7,-8,-7,-9,-7,-8,0,0,-5,-8,-4,-8,-4,-9,-3,-8,-2,-9,0,-9,1,-9,1,-9,2,-9,3,-9,4,-10,5,-9,6,-10,6,-10,6,-10,7,-11,7,-11,8,-12,8,-12,9,-12,10,-13,10,-14,10,-14,10,-16,11,-16,12,-17,0,0,5,-4,6,-5,6,-6,7,-6,7,-6,8,-7,8,-7,8,-7,9,-7,9,-8,10,-8,9,-9,10,-9,9,-9,10,-8,10,-11,8,-10,9,-9,8,-10,8,-10,9,-11,8,-11,8,-11,6,-13,7,-13,6,-14,0,0,5,-15,5,-16,5,-17,4,-17,4,-17,4,-19,4,-19,4,-19,3,-20,3,-21,2,-23,2,-22,2,-23,2,-24,2,-24,1,-26,1,-27,2,-27,3,-28,4,-27,5,-29,5,-28,6,-29,6,-30,9,-29,10,-29,0,0]"
CSI_DATA: 16,5,6,6,5,5,5,0,-32,-32,3546.747,3550.533,305.903,4012.29,4012.29,307.274,"[-12,20,-12,20,-10,21,-13,22,-13,20,-13,20,-13,20,-12,19,-14,19,-11,19,-14,21,-13,21,-13,21,-13,20,-14,19,-12,21,-12,19,-12,18,-12,19,-13,18,-13,18,-12,19,-12,17,-10,19,-12,19,-11,20,0,0,-10,19,-11,19,-11,19,-9,18,-11,18,-10,18,-11,18,-10,17,-10,17,-9,16,-9,18,-9,16,-9,16,-8,17,-8,16,-8,17,-8,17,-8,17,-9,16,-8,16,-9,16,-9,16,-10,16,-10,16,-11,15,-11,15,0,0,-1,-12,-1,-12,-2,-12,-2,-13,-3,-12,-3,-13,-3,-12,-3,-12,-3,-13,-4,-12,-4,-14,-5,-14,-5,-14,-5,-14,-4,-14,-6,-15,-6,-14,-5,-14,-5,-14,-5,-15,-4,-15,-5,-15,-4,-15,-6,-15,-5,-16,-6,-16,0,0,-6,-16,-5,-16,-6,-17,-5,-16,-4,-16,-5,-16,-4,-16,-4,-15,-4,-15,-4,-15,-5,-16,-4,-15,-4,-15,-4,-15,-4,-15,-5,-15,-5,-15,-5,-15,-5,-15,-4,-15,-4,-15,-4,-15,-3,-15,-4,-16,-2,-16,-2,-16,0,0]"
CSI_DATA: 17,4,6,6,5,5,5,0,-39,-31,3550.345,3554.130,306.37,4072.296,4072.296,367.541,"[-17,12,-17,12,-16,13,-18,12,-16,11,-16,11,-16,10,-15,10,-15,9,-14,9,-14,9,-13,9,-13,9,-12,9,-12,7,-11,8,-9,8,-10,7,-9,7,-9,6,-9,6,-8,6,-7,5,-7,5,-7,5,-6,4,0,0,-5,3,-4,2,-4,2,-2,1,-1,1,-1,0,1,-1,2,0,3,-1,3,-1,5,-2,5,-1,7,-2,7,-2,8,-1,9,-2,10,-1,10,-1,11,-1,11,-1,11,0,12,-1,12,-1,13,-2,14,0,14,0,0,0,4,-8,4,-9,3,-10,4,-11,4,-11,4,-12,4,-12,4,-12,4,-12,4,-12,5,-14,4,-13,4,-14,4,-13,4,-13,3,-15,2,-14,2,-13,1,-14,1,-14,1,-15,0,-14,0,-14,-2,-15,-1,-16,-3,-17,0,0,-4,-17,-5,-17,-6,-18,-6,-17,-6,-19,-7,-19,-8,-19,-7,-19,-9,-20,-9,-20,-9,-22,-9,-21,-9,-22,-11,-23,-10,-22,-12,-24,-11,-24,-11,-25,-11,-25,-10,-25,-10,-27,-9,-26,-8,-26,-8,-28,-6,-28,-5,-28,0,0]"
CSI_DATA: 18,5,7,7,6,6,6,0,-34,-33,4286.736,4290.546,305.871,4752.87,4752.87,307.331,"[13,-18,13,-19,11,-19,14,-20,13,-18,14,-18,14,-18,14,-17,14,-17,13,-17,15,-18,14,-18,14,-18,14,-17,15,-17,13,-18,12,-17,13,-16,13,-17,13,-16,14,-16,12,-16,13,-14,11,-17,13,-17,12,-17,0,0,11,-16,11,-16,11,-17,10,-15,11,-16,11,-16,11,-15,10,-14,10,-14,9,-14,9,-15,9,-13,9,-13,9,-14,8,-12,8,-14,8,-13,8,-13,8,-13,8,-12,8,-12,8,-12,8,-11,8,-12,9,-11,9,-11,0,0,3,-10,2,-10,1,-11,1,-12,1,-11,1,-12,0,-12,0,-12,0,-12,-1,-13,-1,-15,-2,-15,-1,-15,-1,-15,0,-15,-2,-16,-2,-15,-1,-16,-1,-16,-1,-17,0,-17,-1,-17,1,-17,-1,-17,0,-18,-1,-18,0,0,0,-17,0,-18,0,-18,0,-17,1,-17,2,-17,2,-16,2,-16,2,-16,2,-16,1,-16,2,-14,1,-14,1,-14,1,-14,1,-14,1,-14,1,-13,1,-13,1,-13,1,-13,1,-12,1,-12,0,-12,2,-12,1,-12,0,0]"
CSI_DATA: 19,4,7,7,6,6,6,0,-34,-32,4290.334,4294.144,306.00,4808.738,4808.738,363.982,"[13,-15,13,-16,12,-15,15,-16,13,-14,14,-14,13,-13,12,-11,12,-11,11,-10,13,-11,11,-11,12,-10,11,-10,11,-9,10,-10,9,-9,9,-8,9,-9,9,-8,9,-8,8,-8,7,-7,7,-9,7,-8,6,-9,0,0,5,-8,5,-8,4,-8,3,-8,3,-8,3,-8,2,-8,2,-8,1,-9,1,-9,0,-10,1,-10,0,-10,0,-11,0,-11,0,-12,0,-12,1,-13,1,-13,1,-12,2,-13,2,-13,2,-13,2,-14,2,-14,3,-14,0,0,9,-2,9,-2,9,-3,10,-3,10,-4,10,-4,11,-4,11,-4,11,-4,11,-5,12,-6,12,-7,12,-7,11,-7,12,-6,12,-9,11,-8,11,-8,11,-9,12,-9,12,-9,11,-10,12,-10,10,-13,12,-13,11,-14,0,0,11,-14,11,-15,11,-16,10,-17,11,-16,11,-17,11,-18,11,-18,11,-19,11,-20,10,-22,10,-21,10,-22,11,-23,11,-24,11,-25,12,-26,13,-26,15,-26,16,-25,17,-25,17,-24,19,-25,18,-26,21,-24,21,-23,0,0]"
CSI_DATA: 20,6,5,5,6,4,6,0,-39,-37,4288.168,4291.978,306.338,4874.261,4874.261,429.505,"[8,-9,8,-10,7,-11,8,-12,7,-11,7,-12,6,-12,5,-12,5,-13,4,-13,5,-15,4,-15,4,-16,4,-16,5,-16,4,-17,4,-17,5,-16,5,-18,6,-17,7,-17,6,-16,7,-15,6,-16,7,-16,7,-16,0,0,6,-14,6,-14,6,-14,6,-12,6,-12,5,-11,6,-10,5,-9,4,-8,3,-7,3,-6,2,-5,1,-4,0,-3,-1,-2,-2,-2,-4,-1,-5,0,-7,0,-9,0,-10,-1,-12,-2,-13,-3,-16,-2,-15,-4,-17,-6,0,0,30,-4,28,-5,26,-8,28,-7,26,-7,25,-8,24,-9,22,-9,22,-9,20,-11,21,-12,19,-13,18,-13,16,-13,17,-11,16,-15,14,-13,14,-13,12,-13,13,-12,13,-11,11,-11,12,-10,10,-12,11,-11,10,-11,0,0,10,-10,11,-9,10,-8,11,-8,12,-6,13,-5,13,-4,14,-4,14,-3,15,-3,17,-3,17,-1,17,0,18,1,19,2,21,3,21,3,22,4,22,5,22,7,23,8,22,8,24,9,26,8,25,11,25,12,0,0]"
