CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 11,3,3,3,4,2,2,0,-29,-27,1321.935,1331.831,19.940,1505.402,1505.402,21.563,"[-15,-3,-15,-2,-15,-1,-17,-3,-17,-3,-17,-3,-18,-2,-17,-2,-18,-2,-17,-2,-19,-3,-19,-2,-19,-2,-19,-2,-19,-3,-20,-1,-18,-1,-19,-2,-19,-1,-20,-1,-19,-2,-19,-1,-19,-2,-19,0,-20,-1,-20,0,0,0,-20,1,-20,1,-21,1,-20,1,-21,1,-20,0,-21,1,-20,0,-20,0,-20,-1,-21,0,-20,-1,-19,-1,-19,-1,-19,-2,-19,-1,-19,-2,-18,-2,-17,-3,-16,-3,-16,-4,-15,-4,-14,-4,-14,-3,-13,-4,-12,-3,0,0,-10,2,-10,3,-10,3,-11,4,-11,4,-11,5,-10,5,-10,6,-11,6,-10,7,-12,8,-11,9,-11,9,-11,10,-12,10,-11,11,-10,11,-10,11,-10,12,-11,12,-11,12,-10,13,-10,12,-9,15,-10,15,-10,16,0,0,-9,17,-9,17,-8,18,-8,18,-9,18,-9,19,-9,19,-9,20,-9,20,-9,20,-8,22,-9,21,-9,21,-10,22,-10,21,-11,23,-10,22,-11,22,-12,21,-13,20,-14,20,-14,19,-14,19,-14,19,-16,17,-16,17,0,0]"
CSI_DATA: 12,6,3,3,4,2,2,0,-40,-46,1322.668,1332.564,316.604,1802.14,1802.14,318.175,"[-22,4,-21,5,-20,6,-21,5,-19,5,-19,4,-18,5,-16,4,-15,4,-14,4,-14,4,-13,4,-12,3,-10,3,-10,3,-9,3,-8,4,-7,3,-6,3,-5,2,-5,2,-4,2,-4,0,-3,1,-3,0,-2,-1,0,0,0,-2,0,-3,0,-3,1,-4,2,-5,2,-5,2,-7,3,-7,2,-8,3,-9,4,-10,5,-11,4,-12,4,-13,5,-13,5,-15,5,-16,6,-17,6,-17,7,-18,7,-19,7,-19,9,-20,9,-21,11,-21,12,-21,0,0,10,8,9,8,8,7,7,8,5,6,4,6,3,5,2,4,2,3,1,2,1,1,0,1,-1,0,-1,-1,-2,-2,-2,-2,-2,-3,-2,-3,-3,-3,-4,-4,-3,-5,-4,-5,-4,-6,-5,-5,-6,-6,-7,-6,0,0,-7,-7,-8,-7,-8,-7,-9,-7,-9,-7,-10,-8,-10,-8,-10,-8,-11,-9,-11,-9,-12,-8,-11,-9,-12,-9,-13,-9,-13,-8,-13,-9,-13,-8,-13,-8,-13,-8,-13,-8,-14,-9,-14,-8,-14,-8,-16,-8,-16,-10,-16,-10,0,0]"
CSI_DATA: 13,4,3,3,4,2,2,0,-32,-31,1322.678,1332.574,316.876,1852.869,1852.869,369.30,"[-2,10,-2,10,0,10,-1,10,0,10,0,10,1,10,1,9,1,9,2,9,2,9,3,9,3,9,3,9,3,9,4,9,4,8,5,8,5,8,5,8,5,8,6,7,6,8,7,7,8,8,8,7,0,0,9,6,9,6,10,6,11,5,11,6,12,5,12,5,13,5,13,5,14,5,15,5,14,6,15,6,15,6,16,6,17,6,17,8,18,8,17,8,17,9,16,10,16,10,16,11,16,11,15,13,14,13,0,0,13,-7,13,-7,12,-8,13,-8,12,-7,12,-7,11,-7,11,-7,11,-7,10,-8,10,-9,10,-9,10,-9,9,-9,9,-9,9,-10,7,-10,7,-10,7,-10,7,-10,7,-11,6,-11,6,-10,4,-12,5,-13,4,-13,0,0,3,-14,3,-14,2,-15,2,-15,2,-16,2,-17,2,-17,2,-17,1,-18,1,-18,0,-20,1,-19,1,-20,1,-21,1,-21,1,-23,0,-22,1,-23,3,-23,4,-23,5,-24,5,-23,6,-24,5,-24,8,-24,9,-23,0,0]"
CSI_DATA: 14,7,3,3,4,2,2,0,-41,-46,1319.164,1329.60,317.145,1910.638,1910.638,426.799,"[-9,-6,-10,-5,-10,-3,-11,-4,-10,-3,-10,-2,-10,-2,-9,-1,-9,-1,-9,-1,-9,0,-9,0,-8,0,-8,0,-8,0,-8,0,-7,0,-6,0,-7,0,-6,-1,-6,-1,-5,-2,-5,-3,-5,-3,-5,-4,-5,-5,0,0,-5,-6,-4,-7,-5,-8,-5,-9,-5,-10,-6,-11,-5,-12,-5,-12,-6,-14,-6,-14,-7,-16,-7,-16,-8,-18,-9,-18,-9,-19,-10,-20,-10,-21,-11,-22,-11,-23,-11,-23,-11,-24,-11,-24,-11,-24,-12,-25,-10,-25,-10,-25,0,0,-13,10,-13,10,-11,10,-13,10,-12,10,-12,10,-11,9,-11,9,-11,9,-9,9,-10,10,-9,10,-9,9,-8,9,-9,9,-8,9,-7,9,-7,8,-7,9,-7,8,-6,8,-6,8,-5,7,-3,8,-4,8,-3,8,0,0,-2,7,-1,6,0,7,1,6,1,6,2,6,2,6,4,6,5,7,5,6,7,7,7,7,8,7,9,8,9,9,11,10,11,10,11,12,10,13,10,14,10,15,9,16,9,16,10,17,7,18,7,19,0,0]"
CSI_DATA: 15,5,3,3,4,2,2,0,-48,-30,1320.513,1330.410,317.773,1973.398,1973.398,489.559,"[7,-2,7,-3,8,-3,8,-2,7,-2,7,-1,7,-2,6,-1,5,-1,5,-1,5,-1,4,0,4,1,2,1,1,0,0,1,0,1,-1,1,-2,1,-3,2,-4,1,-5,2,-6,0,-6,1,-7,1,-8,1,0,0,-9,1,-10,1,-10,1,-10,1,-11,1,-12,0,-12,1,-12,0,-13,0,-12,0,-13,0,-12,0,-12,0,-12,1,-12,0,-11,1,-12,1,-11,1,-11,1,-10,2,-11,2,-10,3,-10,3,-11,4,-11,4,-11,4,0,0,-1,16,0,16,1,16,0,17,0,17,0,17,0,17,0,16,0,17,1,16,2,18,2,17,2,17,2,17,1,18,3,18,3,17,3,17,3,17,2,18,2,18,3,17,2,17,5,17,4,18,5,18,0,0,5,17,5,17,6,18,6,17,6,18,6,18,5,18,6,18,6,18,7,18,8,19,6,18,7,19,7,19,6,19,7,20,7,20,6,21,5,20,4,20,4,21,3,20,3,21,4,21,2,22,1,22,0,0]"
CSI_DATA: 16,3,4,4,6,3,3,0,-29,-27,2061.884,2071.792,19.849,2245.328,2245.328,21.489,"[4,14,4,14,6,14,5,16,5,15,5,16,5,16,4,15,4,16,5,15,5,17,6,17,6,17,5,17,5,17,7,17,6,16,6,16,7,17,6,17,6,17,7,17,6,16,8,16,8,17,8,17,0,0,8,17,8,17,9,17,9,16,9,17,8,18,8,17,8,17,8,17,7,17,8,18,7,17,6,17,6,17,6,16,6,17,5,17,5,16,4,15,3,15,2,14,2,13,2,13,2,12,1,12,2,11,0,0,4,8,5,8,7,7,7,9,7,8,8,8,8,8,9,8,9,8,9,7,11,8,12,7,12,7,12,7,12,8,14,6,13,5,14,6,14,5,14,5,15,6,15,4,15,5,16,3,18,4,18,3,0,0,18,2,18,2,19,1,20,1,20,2,21,1,21,2,21,2,21,1,22,1,24,0,23,2,23,1,23,2,23,2,24,2,24,2,24,3,24,4,23,5,24,6,22,7,22,7,22,7,21,9,21,9,0,0]"
CSI_DATA: 17,6,4,4,6,3,3,0,-40,-47,2062.619,2072.527,5.862,2541.969,2541.969,318.130,"[30,1,28,-1,28,-3,28,-1,26,0,25,-1,23,-1,21,0,21,-1,18,-2,18,-2,16,-2,15,-3,13,-3,12,-2,11,-3,9,-3,7,-3,6,-4,6,-3,5,-2,3,-1,3,-2,2,-2,1,-1,0,0,0,0,-1,1,-2,2,-3,3,-4,3,-5,5,-5,6,-6,8,-6,8,-6,10,-7,11,-7,13,-8,13,-8,15,-9,16,-9,17,-9,18,-10,21,-11,22,-12,23,-13,23,-14,24,-15,26,-17,27,-17,30,-19,27,-20,28,0,0,-15,-8,-14,-7,-12,-7,-12,-8,-10,-7,-9,-6,-7,-6,-5,-5,-4,-4,-4,-3,-3,-3,-2,-2,-2,-1,-1,0,-1,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,3,4,4,3,5,5,6,5,0,0,6,5,7,5,8,5,9,6,9,6,9,7,10,7,10,7,10,7,11,7,12,7,11,7,12,7,12,7,12,7,13,8,13,7,13,7,13,7,13,7,14,8,14,7,15,7,17,6,17,9,18,9,0,0]"
CSI_DATA: 18,4,4,4,6,3,3,0,-32,-31,2062.629,2072.537,6.147,2588.979,2588.979,365.140,"[-4,11,-3,11,-2,11,-3,12,-3,11,-2,11,-2,11,-2,10,-1,11,0,10,0,12,1,11,1,11,1,11,1,11,3,11,3,10,3,10,3,10,3,11,3,11,4,10,4,10,6,9,6,10,7,10,0,0,7,9,8,9,9,9,9,9,10,9,10,10,11,9,11,10,12,10,13,10,15,10,13,10,14,11,15,12,15,12,16,12,16,13,16,15,15,15,14,16,14,17,13,17,12,17,14,17,12,18,10,19,0,0,8,-12,8,-12,7,-13,8,-13,8,-12,7,-12,7,-12,7,-12,6,-12,5,-12,6,-13,5,-12,5,-12,4,-12,5,-12,3,-13,2,-12,3,-12,2,-12,2,-12,2,-13,0,-13,1,-13,-1,-13,-1,-14,-2,-14,0,0,-3,-14,-4,-15,-4,-15,-5,-15,-5,-15,-5,-16,-6,-16,-6,-16,-6,-17,-7,-17,-8,-19,-7,-18,-7,-19,-8,-19,-8,-20,-8,-21,-8,-22,-8,-22,-7,-22,-6,-23,-5,-24,-5,-24,-4,-25,-4,-25,-2,-25,-1,-25,0,0]"
CSI_DATA: 19,7,4,4,6,3,3,0,-40,-46,2059.115,2069.23,6.411,2652.502,2652.502,428.663,"[12,1,13,0,12,-2,13,-2,12,-2,12,-3,11,-3,10,-3,10,-3,9,-4,10,-4,9,-5,8,-5,7,-5,7,-4,7,-5,6,-4,5,-3,6,-3,6,-1,5,0,5,-1,4,1,6,1,6,3,6,4,0,0,6,6,6,7,7,9,8,9,9,11,9,13,10,13,10,14,11,16,12,16,15,18,14,19,16,20,17,21,17,21,19,23,20,23,21,25,21,25,21,26,21,27,21,27,22,28,25,27,23,29,22,30,0,0,-7,-19,-9,-18,-10,-16,-10,-18,-10,-16,-9,-16,-10,-15,-9,-14,-10,-14,-10,-13,-11,-15,-11,-13,-11,-12,-11,-12,-11,-12,-12,-11,-11,-10,-10,-10,-11,-9,-11,-9,-11,-9,-11,-8,-10,-8,-10,-6,-10,-6,-10,-5,0,0,-9,-3,-10,-2,-9,-1,-9,0,-9,1,-9,2,-9,3,-9,5,-9,6,-10,7,-10,9,-11,9,-12,10,-13,11,-13,12,-15,14,-16,14,-17,14,-18,14,-19,13,-22,12,-22,11,-24,11,-24,11,-26,8,-26,7,0,0]"
CSI_DATA: 20,3,5,5,8,4,4,0,-29,-27,2801.868,2811.818,19.953,2985.284,2985.284,21.443,"[8,11,9,12,9,11,10,13,9,13,10,13,10,13,10,13,10,13,10,13,11,14,11,13,11,14,11,13,11,14,12,13,12,13,11,13,13,13,12,14,12,14,12,13,11,13,14,12,14,13,15,13,0,0,14,13,14,13,15,13,15,12,15,13,15,13,14,13,14,13,14,13,13,13,15,13,13,13,13,13,12,13,12,13,12,14,12,13,11,13,10,13,9,12,8,12,8,11,7,11,8,11,6,10,6,10,0,0,-10,-4,-10,-4,-11,-3,-12,-3,-12,-2,-12,-1,-12,-1,-12,-1,-13,-1,-13,0,-14,1,-14,2,-15,2,-14,2,-15,2,-16,3,-14,4,-15,4,-15,5,-16,4,-16,5,-16,5,-16,5,-15,8,-17,8,-17,9,0,0,-17,10,-18,10,-17,11,-17,12,-18,11,-18,12,-19,11,-18,12,-19,12,-19,13,-19,15,-19,13,-19,13,-20,13,-21,13,-22,13,-21,14,-22,12,-22,11,-22,10,-23,10,-21,8,-23,9,-22,9,-23,6,-22,5,0,0]"
