CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 11,6,4,4,6,3,3,0,-33,-34,2065.247,2072.573,5.446,2540.377,2540.377,315.506,"[-3,11,-3,12,-1,13,-2,14,-2,14,-1,14,-1,14,-1,14,-1,15,0,15,-1,17,0,16,-1,17,-1,17,-2,17,-1,17,-1,16,-1,16,-1,17,-2,17,-3,17,-2,16,-3,15,-1,16,-2,16,-1,15,0,0,-1,14,-1,14,0,14,0,12,0,12,1,12,1,12,2,11,3,11,4,11,6,11,6,11,7,12,8,12,9,12,10,13,10,14,11,15,10,16,10,17,9,19,9,19,9,20,10,21,8,23,7,24,0,0,4,9,5,9,5,7,6,9,5,8,6,8,5,8,5,7,5,8,6,6,6,8,7,6,7,6,7,6,7,6,7,5,8,5,8,5,9,5,9,5,9,5,10,5,9,5,10,4,11,5,11,5,0,0,11,5,11,6,12,6,11,5,12,7,12,7,11,7,11,7,11,7,10,7,11,8,10,8,10,8,10,8,9,8,9,9,8,8,8,9,7,8,6,8,6,8,6,7,5,8,6,7,5,7,5,7,0,0]"
CSI_DATA: 12,4,4,4,5,3,3,0,-35,-27,2065.257,2072.583,5.751,2583.661,2583.661,358.790,"[-13,-10,-13,-10,-13,-8,-13,-9,-13,-8,-13,-8,-12,-7,-12,-6,-12,-6,-11,-4,-12,-5,-12,-3,-12,-3,-11,-2,-11,-2,-11,-1,-10,-1,-10,0,-10,1,-10,1,-9,1,-9,2,-8,2,-8,4,-8,4,-7,5,0,0,-7,6,-7,7,-7,9,-6,9,-6,10,-7,11,-7,11,-7,12,-8,13,-8,13,-8,15,-9,14,-10,15,-10,15,-11,15,-12,16,-12,16,-13,16,-14,15,-14,14,-15,14,-15,14,-16,14,-16,15,-18,12,-18,12,0,0,-16,8,-17,9,-15,10,-18,10,-16,9,-18,8,-17,8,-16,7,-17,8,-16,8,-18,8,-17,9,-17,9,-16,8,-16,7,-15,8,-15,8,-14,6,-14,8,-15,7,-15,7,-14,8,-13,7,-12,9,-13,9,-13,10,0,0,-12,10,-12,10,-12,12,-11,11,-12,11,-12,11,-13,11,-13,11,-12,11,-12,11,-12,14,-12,12,-12,13,-13,13,-12,13,-13,14,-13,14,-14,14,-14,13,-14,13,-15,13,-15,12,-15,12,-15,13,-17,13,-18,12,0,0]"
CSI_DATA: 13,3,5,5,4,4,4,0,-32,-37,2369.350,2811.812,448.629,2983.765,2983.765,18.896,"[-14,9,-14,9,-13,9,-16,9,-15,8,-15,8,-14,8,-13,8,-14,8,-13,7,-15,7,-13,8,-14,8,-13,7,-13,6,-13,8,-11,8,-12,7,-11,8,-11,8,-11,9,-11,9,-11,8,-10,10,-11,10,-10,12,0,0,-10,12,-11,12,-11,13,-10,13,-11,13,-11,13,-11,14,-10,13,-11,14,-10,13,-11,14,-11,13,-12,13,-12,14,-12,13,-12,14,-12,14,-12,14,-12,13,-11,13,-12,12,-12,11,-12,11,-12,11,-13,10,-12,9,0,0,20,4,20,3,20,2,21,3,20,3,19,4,19,4,18,4,18,4,17,3,18,3,17,2,17,2,17,1,16,2,16,0,15,0,14,0,14,-2,14,-1,14,-1,14,-2,13,-2,13,-4,14,-3,14,-4,0,0,12,-4,13,-5,13,-5,12,-5,12,-4,12,-3,11,-3,10,-2,10,-2,9,-2,8,-1,6,0,5,0,4,0,2,0,0,0,-1,0,-3,-1,-5,-1,-6,-2,-8,-4,-9,-5,-10,-6,-11,-8,-12,-10,-12,-12,0,0]"
CSI_DATA: 14,4,5,5,7,4,4,0,-37,-27,2805.240,2812.590,5.700,3280.767,3280.767,315.898,"[8,11,8,10,9,9,9,10,8,9,8,8,8,8,7,7,7,7,8,6,8,7,8,6,8,5,8,5,7,5,8,4,7,3,7,3,7,2,7,3,6,2,7,1,6,1,6,0,7,0,6,-1,0,0,6,-2,6,-3,6,-4,6,-4,7,-5,7,-5,7,-6,8,-6,8,-7,9,-7,10,-8,10,-7,10,-7,11,-7,11,-7,12,-7,13,-7,13,-6,13,-6,13,-5,14,-4,14,-4,14,-4,15,-4,14,-2,15,-2,0,0,-7,-15,-7,-15,-8,-15,-7,-17,-7,-16,-7,-16,-7,-16,-6,-15,-6,-16,-6,-15,-7,-17,-7,-16,-6,-16,-6,-15,-5,-15,-7,-15,-7,-14,-6,-14,-6,-13,-5,-14,-5,-13,-6,-13,-6,-13,-7,-11,-7,-12,-8,-12,0,0,-9,-11,-9,-11,-9,-11,-10,-11,-9,-11,-10,-11,-10,-11,-10,-11,-11,-11,-11,-11,-12,-11,-11,-11,-11,-11,-12,-12,-13,-12,-13,-12,-13,-12,-13,-13,-12,-14,-12,-13,-12,-15,-12,-15,-12,-15,-13,-15,-11,-17,-11,-17,0,0]"
CSI_DATA: 15,6,5,5,8,4,4,0,-35,-33,2805.230,2812.580,313.992,3334.598,3334.598,369.729,"[12,1,12,-1,12,-2,14,-2,13,-3,14,-4,16,-4,15,-5,17,-5,16,-7,20,-7,20,-7,20,-8,21,-7,21,-6,22,-8,21,-7,21,-6,22,-7,23,-6,22,-5,22,-6,21,-4,21,-7,22,-6,22,-6,0,0,20,-5,19,-5,18,-6,17,-6,16,-6,16,-6,15,-7,14,-8,13,-9,12,-10,12,-13,10,-13,10,-15,10,-16,10,-16,10,-19,11,-21,11,-23,13,-24,14,-25,16,-26,18,-26,19,-28,20,-29,24,-28,26,-28,0,0,-10,-2,-10,-1,-10,0,-11,0,-10,1,-10,1,-10,1,-10,1,-10,1,-10,2,-11,3,-10,3,-10,3,-10,3,-10,3,-10,4,-10,5,-10,6,-10,6,-11,5,-11,6,-11,6,-12,6,-11,7,-13,7,-13,8,0,0,-13,7,-14,7,-14,7,-14,7,-15,6,-15,5,-15,4,-15,4,-15,4,-15,4,-15,4,-14,2,-14,2,-14,2,-13,2,-13,2,-13,2,-12,1,-12,1,-11,1,-11,0,-10,0,-10,0,-10,1,-10,1,-9,1,0,0]"
CSI_DATA: 16,6,6,6,9,5,5,0,-34,-34,3548.884,3552.547,5.386,4020.516,4020.516,315.647,"[1,16,2,17,5,16,5,18,5,17,7,18,8,18,9,18,9,20,10,19,12,22,13,22,12,23,13,23,12,25,14,24,12,23,11,23,13,24,11,26,10,26,11,25,10,24,12,23,10,25,12,24,0,0,11,21,10,21,11,20,11,17,11,18,13,17,13,16,13,13,15,13,16,11,19,11,19,10,20,10,22,9,24,9,27,10,28,11,31,12,31,13,32,15,34,17,34,19,35,21,38,23,35,27,35,29,0,0,-6,-9,-6,-8,-6,-7,-6,-8,-6,-7,-6,-6,-6,-6,-6,-5,-6,-5,-6,-4,-6,-4,-7,-3,-7,-3,-7,-2,-7,-2,-8,-1,-7,0,-8,0,-8,1,-9,1,-9,0,-10,1,-10,1,-10,2,-11,2,-11,2,0,0,-12,2,-13,2,-13,2,-13,2,-13,1,-14,1,-14,0,-14,0,-14,0,-13,0,-14,0,-14,-1,-13,-1,-13,-2,-13,-2,-13,-2,-13,-2,-12,-2,-11,-3,-10,-3,-10,-3,-9,-3,-9,-3,-9,-2,-9,-2,-8,-2,0,0]"
CSI_DATA: 17,4,6,6,9,5,5,0,-36,-27,3548.893,3552.557,5.711,4072.480,4072.480,367.611,"[-9,-11,-10,-11,-10,-9,-11,-11,-10,-9,-10,-9,-10,-9,-9,-8,-9,-8,-9,-6,-10,-7,-10,-6,-10,-6,-9,-5,-9,-5,-10,-4,-9,-4,-8,-3,-9,-3,-9,-3,-9,-2,-9,-2,-8,-2,-9,0,-9,0,-9,1,0,0,-9,2,-9,2,-10,3,-9,3,-10,4,-11,4,-11,5,-11,5,-12,5,-11,5,-13,6,-13,5,-14,5,-14,5,-14,4,-15,5,-15,5,-16,4,-16,4,-16,3,-17,2,-17,2,-18,1,-18,1,-18,-1,-18,-1,0,0,-12,9,-13,10,-12,11,-14,10,-13,10,-14,10,-14,10,-13,9,-14,9,-13,10,-15,10,-14,10,-14,10,-13,10,-14,8,-14,10,-12,9,-12,8,-12,9,-13,9,-13,8,-12,9,-12,8,-10,10,-11,10,-11,10,0,0,-10,10,-10,10,-10,11,-10,11,-10,11,-11,11,-10,11,-10,11,-10,11,-9,12,-10,13,-10,12,-10,12,-10,12,-10,12,-10,13,-10,13,-11,13,-11,13,-12,12,-12,13,-12,12,-12,13,-13,13,-14,12,-14,11,0,0]"
CSI_DATA: 18,6,7,7,11,6,6,0,-36,-34,4285.216,4295.188,314.44,4760.508,4760.508,315.638,"[7,11,8,10,9,9,10,10,10,9,10,9,11,8,12,8,12,8,13,7,15,9,15,8,16,8,16,8,15,10,17,9,16,8,15,10,16,10,16,10,15,11,16,11,15,11,16,9,16,11,17,10,0,0,15,10,14,10,14,9,13,8,13,8,12,8,12,7,12,6,12,4,12,3,14,2,13,1,14,0,15,-1,16,-1,18,-2,18,-3,20,-3,21,-2,22,-2,24,-1,25,0,27,1,29,0,29,5,30,6,0,0,1,10,2,10,2,9,2,10,2,9,3,9,2,8,3,8,3,8,4,6,4,8,5,6,5,6,5,6,5,6,6,5,7,5,6,5,8,5,8,6,8,6,9,6,8,6,10,5,10,6,11,6,0,0,10,7,11,7,11,8,11,6,11,9,11,9,10,9,10,9,9,9,9,8,10,9,8,9,8,10,8,10,7,9,7,10,6,9,6,10,5,9,4,8,4,8,4,8,3,7,4,7,3,6,3,6,0,0]"
CSI_DATA: 19,4,7,7,11,6,6,0,-36,-27,4285.225,4295.198,314.278,4802.954,4802.954,358.84,"[-6,-13,-7,-13,-7,-12,-7,-13,-7,-12,-7,-12,-7,-11,-7,-11,-7,-10,-7,-9,-8,-10,-8,-10,-8,-9,-9,-9,-8,-9,-9,-9,-9,-8,-8,-7,-9,-7,-9,-7,-9,-7,-9,-6,-8,-7,-9,-5,-10,-6,-10,-5,0,0,-10,-4,-11,-3,-11,-3,-10,-2,-11,-2,-12,-2,-12,-2,-12,-2,-13,-2,-13,-2,-15,-2,-14,-2,-15,-3,-16,-3,-15,-3,-16,-3,-16,-3,-16,-4,-16,-5,-16,-5,-16,-6,-16,-7,-16,-7,-17,-7,-16,-9,-16,-10,0,0,13,7,14,7,13,5,15,7,13,7,14,7,14,7,13,7,13,7,13,6,14,8,14,7,14,6,13,6,13,8,13,6,13,5,12,6,12,5,12,6,12,6,12,5,12,5,13,4,13,5,14,4,0,0,13,3,14,3,14,3,14,3,14,3,14,3,14,3,14,3,14,3,14,3,16,3,14,3,15,3,15,3,15,3,17,3,16,3,16,4,16,4,16,4,16,5,16,5,16,6,17,5,17,7,17,8,0,0]"
CSI_DATA: 20,5,3,3,11,2,6,0,-34,-29,4283.33,4293.06,315.444,4865.494,4865.494,420.624,"[-22,-15,-22,-15,-22,-13,-22,-16,-20,-15,-19,-16,-18,-15,-17,-14,-16,-15,-16,-13,-17,-15,-16,-13,-16,-14,-15,-13,-13,-14,-14,-12,-13,-11,-12,-11,-13,-10,-12,-11,-12,-11,-12,-9,-11,-9,-12,-8,-12,-9,-12,-8,0,0,-11,-7,-12,-7,-12,-7,-11,-6,-11,-7,-11,-7,-11,-7,-10,-6,-11,-6,-10,-6,-11,-5,-10,-6,-10,-6,-10,-5,-9,-5,-9,-5,-9,-4,-9,-4,-8,-4,-8,-4,-8,-4,-7,-4,-7,-4,-8,-3,-7,-3,-7,-3,0,0,-9,5,-9,5,-8,6,-9,6,-8,6,-8,6,-7,6,-7,7,-7,7,-6,8,-7,9,-6,10,-6,10,-6,10,-6,10,-6,11,-5,11,-6,11,-5,13,-7,13,-7,13,-6,13,-7,13,-5,14,-6,15,-6,16,0,0,-7,15,-6,15,-7,17,-7,15,-8,16,-9,16,-8,16,-9,16,-9,16,-8,15,-9,17,-9,15,-9,15,-10,16,-10,15,-10,16,-10,14,-11,15,-10,14,-11,13,-11,13,-11,13,-10,12,-10,13,-11,13,-12,12,0,0]"
